Date,Open,Close,High,Low
2025-10-01,233.22,235.25,235.58,231.05
2025-09-30,232.76,233.47,234.05,232.36
2025-09-29,235.39,232.62,235.45,232.62
2025-09-26,231.48,234.99,235.41,231.48
2025-09-25,232.23,231.81,232.61,230.48
2025-09-24,231.73,232.63,233.29,229.14
2025-09-23,231.39,231.89,232.98,229.81
2025-09-22,232.9,230.85,232.96,229.5
2025-09-19,230.99,232.99,233.69,230.99
2025-09-18,230.24,230.71,231.77,228.31
2025-09-17,231.8,228.79,232.05,228.03
2025-09-16,235.91,231.16,235.91,230.92
2025-09-15,233.94,235.93,236.42,233.94
2025-09-12,232.61,232.8,232.99,230.63
2025-09-11,230.75,232.53,233.09,229.74
2025-09-10,229.36,230.65,231.49,228.33
2025-09-09,227.15,228.96,228.96,225.81
2025-09-08,224.01,226.88,227.02,224.01
2025-09-05,227.26,223.69,227.99,222.9
2025-09-04,223.85,226.67,226.76,222.92
2025-09-03,222.96,223.54,223.86,221.27
2025-09-02,226.4,222.75,226.77,221.69
2025-09-01,224.9,225.99,226.29,224.71
2025-08-29,225.06,224.41,225.06,222.41
2025-08-28,225.06,225.42,226.69,223.8
2025-08-27,228.24,224.71,228.95,223.75
2025-08-26,232.09,228.32,232.09,226.66
2025-08-25,235.95,233.88,236.68,233.62
2025-08-22,235.85,236.14,237.24,235.08
2025-08-21,234.37,236.1,236.1,233.34
2025-08-20,235.63,234.74,235.63,233.74
2025-08-19,234.47,236.06,236.96,234.47
2025-08-18,235.73,234.08,236.01,231.81
2025-08-15,236.08,236.01,237.32,235.61
2025-08-14,233.12,235.63,235.84,233.1
2025-08-13,231.1,232.86,233.19,231.1
2025-08-12,230.57,230.87,231.76,229.88
2025-08-11,229.33,230.13,230.47,227.28
2025-08-08,224.99,228.97,229.18,224.72
2025-08-07,220.82,224.73,224.83,220.82
2025-08-06,217.89,220.38,220.38,217.89
2025-08-05,218.56,217.53,219.25,216.21
2025-08-04,212.64,217.98,218.0,212.64
2025-08-01,218.93,212.29,218.93,210.86
2025-07-31,219.31,219.74,222.12,218.84
2025-07-30,214.39,218.13,218.13,213.58
2025-07-29,211.68,215.17,216.06,211.68
2025-07-28,212.29,211.53,214.74,211.16
2025-07-25,211.72,211.72,212.44,210.48
2025-07-24,209.41,212.08,212.42,209.41
2025-07-23,204.83,207.57,208.1,204.83
